benchmark,onnx_file,vnnlib_file,verdict,wall_s,vnncomp_timeout_s,p_filter,lp_solver,p_min,p_max,threshold,n_disjuncts,error,timestamp
metaroom_2023,6cnn_tz_37_6_no_custom_OP.onnx,spec_idx_178_eps_0.00001000.vnnlib,NOT_APPLICABLE,4.30,210,0.0,gurobi,,,0.001,0,load_onnx_network Exception: error: incorrect dilation,2026-05-06T00:09:21.383411+00:00
metaroom_2023,4cnn_ry_71_11_no_custom_OP.onnx,spec_idx_37_eps_0.00000436.vnnlib,NOT_APPLICABLE,4.06,210,0.0,gurobi,,,0.001,0,load_onnx_network Exception: error: incorrect dilation,2026-05-06T00:09:29.384507+00:00
metaroom_2023,6cnn_ry_114_19_no_custom_OP.onnx,spec_idx_100_eps_0.00000436.vnnlib,NOT_APPLICABLE,4.29,210,0.0,gurobi,,,0.001,0,load_onnx_network Exception: error: incorrect dilation,2026-05-06T00:09:37.720249+00:00
metaroom_2023,4cnn_ry_70_11_no_custom_OP.onnx,spec_idx_36_eps_0.00000436.vnnlib,NOT_APPLICABLE,4.10,210,0.0,gurobi,,,0.001,0,load_onnx_network Exception: error: incorrect dilation,2026-05-06T00:09:45.823518+00:00
metaroom_2023,4cnn_tz_20_3_no_custom_OP.onnx,spec_idx_53_eps_0.00001000.vnnlib,NOT_APPLICABLE,4.09,210,0.0,gurobi,,,0.001,0,load_onnx_network Exception: error: incorrect dilation,2026-05-06T00:09:53.910068+00:00
metaroom_2023,4cnn_ry_52_8_no_custom_OP.onnx,spec_idx_25_eps_0.00000436.vnnlib,NOT_APPLICABLE,4.18,210,0.0,gurobi,,,0.001,0,load_onnx_network Exception: error: incorrect dilation,2026-05-06T00:10:02.091435+00:00
metaroom_2023,6cnn_tz_4_0_no_custom_OP.onnx,spec_idx_186_eps_0.00001000.vnnlib,NOT_APPLICABLE,4.35,210,0.0,gurobi,,,0.001,0,load_onnx_network Exception: error: incorrect dilation,2026-05-06T00:10:10.512665+00:00
metaroom_2023,6cnn_ry_91_15_no_custom_OP.onnx,spec_idx_146_eps_0.00000436.vnnlib,NOT_APPLICABLE,4.16,210,0.0,gurobi,,,0.001,0,load_onnx_network Exception: error: incorrect dilation,2026-05-06T00:10:18.674023+00:00
metaroom_2023,4cnn_tz_4_0_no_custom_OP.onnx,spec_idx_71_eps_0.00001000.vnnlib,NOT_APPLICABLE,4.09,210,0.0,gurobi,,,0.001,0,load_onnx_network Exception: error: incorrect dilation,2026-05-06T00:10:26.779505+00:00
metaroom_2023,4cnn_tz_47_7_no_custom_OP.onnx,spec_idx_69_eps_0.00001000.vnnlib,NOT_APPLICABLE,4.09,210,0.0,gurobi,,,0.001,0,load_onnx_network Exception: error: incorrect dilation,2026-05-06T00:10:34.859145+00:00
