benchmark,instance,verdict,wall_s,timeout_s,beta,dkw_epsilon,delta,n_samples,k_disjuncts,beta_per,delta_per,n_certified_disjuncts,worst_prob_unsafe,union_upper_bound_unsafe,n_unsafe_samples,error,timestamp
dist_shift_2023,mnist_concat.onnx+index3805_delta0.13.vnnlib,UNSAT,0.76,300,0.001,0.01,0.05,38005,1,0.001,0.05,1,0.0,0.01,0,,2026-05-04T20:13:59.481194+00:00
dist_shift_2023,mnist_concat.onnx+index668_delta0.13.vnnlib,UNSAT,0.80,300,0.001,0.01,0.05,38005,1,0.001,0.05,1,0.0,0.01,0,,2026-05-04T20:14:04.188870+00:00
dist_shift_2023,mnist_concat.onnx+index7175_delta0.13.vnnlib,UNSAT,0.78,300,0.001,0.01,0.05,38005,1,0.001,0.05,1,0.0,0.01,0,,2026-05-04T20:14:09.475317+00:00
dist_shift_2023,mnist_concat.onnx+index4286_delta0.13.vnnlib,UNSAT,0.80,300,0.001,0.01,0.05,38005,1,0.001,0.05,1,0.0,0.01,0,,2026-05-04T20:14:14.359079+00:00
dist_shift_2023,mnist_concat.onnx+index5385_delta0.13.vnnlib,UNSAT,0.76,300,0.001,0.01,0.05,38005,1,0.001,0.05,1,0.0,0.01,0,,2026-05-04T20:14:19.019832+00:00
dist_shift_2023,mnist_concat.onnx+index5391_delta0.13.vnnlib,UNSAT,0.80,300,0.001,0.01,0.05,38005,1,0.001,0.05,1,0.0,0.01,0,,2026-05-04T20:14:23.924932+00:00
dist_shift_2023,mnist_concat.onnx+index6354_delta0.13.vnnlib,UNSAT,0.76,300,0.001,0.01,0.05,38005,1,0.001,0.05,1,0.0,0.01,0,,2026-05-04T20:14:28.583133+00:00
dist_shift_2023,mnist_concat.onnx+index5020_delta0.13.vnnlib,UNSAT,0.77,300,0.001,0.01,0.05,38005,1,0.001,0.05,1,0.0,0.01,0,,2026-05-04T20:14:33.251670+00:00
dist_shift_2023,mnist_concat.onnx+index7106_delta0.13.vnnlib,UNSAT,0.76,300,0.001,0.01,0.05,38005,1,0.001,0.05,1,0.0,0.01,0,,2026-05-04T20:14:37.912914+00:00
dist_shift_2023,mnist_concat.onnx+index4148_delta0.13.vnnlib,UNSAT,0.76,300,0.001,0.01,0.05,38005,1,0.001,0.05,1,0.0,0.01,0,,2026-05-04T20:14:42.578626+00:00
dist_shift_2023,mnist_concat.onnx+index6199_delta0.13.vnnlib,UNSAT,0.78,300,0.001,0.01,0.05,38005,1,0.001,0.05,1,0.0,0.01,0,,2026-05-04T20:14:47.258602+00:00
dist_shift_2023,mnist_concat.onnx+index7534_delta0.13.vnnlib,SAT,0.79,300,0.001,0.01,0.05,38005,1,0.001,0.05,0,0.14429680305222997,0.15429680305222998,5484,,2026-05-04T20:14:51.954625+00:00
dist_shift_2023,mnist_concat.onnx+index9021_delta0.13.vnnlib,UNSAT,0.81,300,0.001,0.01,0.05,38005,1,0.001,0.05,1,0.0,0.01,0,,2026-05-04T20:14:56.670888+00:00
dist_shift_2023,mnist_concat.onnx+index6107_delta0.13.vnnlib,UNSAT,0.81,300,0.001,0.01,0.05,38005,1,0.001,0.05,1,0.0,0.01,0,,2026-05-04T20:15:01.582375+00:00
